complaint_nbr,hearing_nbr,final_order_date,discipline_nbr,discipline_imposed,statute,discipline_start_date,discipline_end_date,discipline_satisfied_date,discipline_comments,row_revision,creation_user_code,creation_datetime,update_user_code,update_datetime,id
8830,216,7/11/1990,1,Rev,4,7/11/1990,,,,,,,,,2931
8803,244,4/20/1984,1,NC-Dismissed,4,4/20/1984,,,Ordered that respondent is eligible for certification as a correctional officer.,,,,,,2923
8801,41,6/4/1986,1,Rev,7,6/4/1986,,,,,,,,,2922
8829,220,7/12/1982,1,Rev,4,7/12/1982,,,,,,,,,2930
15144,559,5/16/2000,1,Rev,4,5/16/2000,,,,,,,,,5168
14524,559,5/16/2000,1,Rev,4,5/16/2000,,,,,,,,,5005
14996,559,5/16/2000,1,Rev,7,5/16/2000,,,,,,,,,5137
15163,559,5/16/2000,1,Rev,4,5/16/2000,,,,,,,,,5178
15395,559,5/16/2000,1,SP,7,6/24/1999,12/23/1999,12/23/1999,Retroactive suspension,,,,,,5231
15440,559,5/16/2000,1,VR,4,5/16/2000,,,,,,,,,5244
13328,559,5/16/2000,1,Rev,4,5/16/2000,,,,,,,,,4732
14980,560,5/16/2000,1,Sus/Pr,7,2/1/1999,5/31/2002,5/31/2002,18 month retroactive and proactive suspension from 02-01-99 to 08-01-00; 2 year probation from 05-31-00 to 05-31-02; and enter Substance Abuse Counseling and provide staff with proof of successful completion prior to expiration of the probation period.  Proof of counseling received on 05-15-02.,,,,,,5130
15608,559,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,5274
14931,560,5/16/2000,1,Sus/Pr,7,5/31/2000,5/31/2002,,"Proactive suspension for six months beginning 05-31-00 through 11-31-00, probation for a period of 2 years, ethics training.",,,,,,5113
15244,559,5/16/2000,1,VR,4,,,,,,,,,,5198
15093,559,5/16/2000,1,VR,4,,,,,,,,,,5158
15477,559,5/16/2000,1,Rev,7,,,,,,,,,,5254
15627,559,5/16/2000,1,VR,7,,,,,,,,,,5278
15131,559,5/16/2000,1,Rev,4,,,,,,,,,,5163
14985,559,5/15/2000,1,Sus/Pr,7,8/12/1999,5/29/2001,5/29/2001,"1 year suspension from August 12, 1999 until August 11, 2000.  1 year probation beginning May 30, 2000 with Ethics training.",,,,,,5133
15257,559,5/16/2000,1,VR,4,5/16/2000,,,,,,,,,5201
14979,559,5/15/2000,1,Sus/Pr,7,8/12/1999,5/29/2001,5/29/2001,"Revoke instructor certification.  Suspension until 08-11-00, 1 year probation with ethics.",,,,,,5129
15037,559,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,5146
15912,560,5/16/2000,1,VR,,5/16/2000,,,,,,,,,5362
14780,559,5/16/2000,1,Rev,7,,,,,,,,,,5076
14899,559,5/16/2000,1,Rev,4,,,,,,,,,,5103
15442,559,5/16/2000,1,Rev,7,,,,,,,,,,5246
15012,559,5/16/2000,1,VR,4,,,,,,,,,,5140
15625,559,5/16/2000,1,VR,4,,,,,,,,,,5277
13620,559,5/16/2000,1,Rev,7,5/16/2000,,,,,,,,,4782
15368,560,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,5223
12634,559,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,4480
2924,12,2/5/1993,1,None,7,,,,"Motion for Reconsideration was denied, however, the Commission Final Order states that the previous revocation (Case #L-1563) shall not stand as a bar to future certification and respondent was recertified and his certificate reactivated.",,,,,,1037
6449,200,1/25/1994,1,Rev,4,1/25/1994,,,,,,,,,2467
12036,261,1/28/1998,1,VR,7,1/28/1998,,,,,,,,,4263
3225,9,2/23/1993,1,Rev,7,2/23/1993,,,,,,,,,1206
13619,559,5/31/2000,1,Rev,7,,,,,,,,,,4781
15511,559,6/9/2000,1,Sus/Pr,7,6/24/2000,6/23/2001,6/13/2001,5 days suspension to be served within the first 30 days after filing of the final order,,,,,,5259
15171,559,6/1/2000,1,Rev,4,6/1/2000,,,,,,,,,5180
14585,559,6/1/2000,1,Rev,7,6/1/2000,,,,,,,,,5028
8382,372,4/29/1997,1,Rev,7,4/29/1997,,,,,,,,,2747
13521,532,2/10/1999,1,Rev,7,2/10/1999,,,,,,,,,4766
14654,565,8/14/2000,1,Rev,7,8/11/2000,,,,,,,,,5043
12238,565,8/15/2000,1,DI,7,8/15/2000,,,,,,,,,4341
10488,565,8/22/2000,1,DI,7,8/22/2000,,,Administrative Complaint Dismissed due to the victim and witness no longer willing to cooperate.,,,,,,3715
13905,565,8/23/2000,1,VR,7,8/23/2000,,,,,,,,,4844
15862,564,8/29/2000,1,VR,7,8/29/2000,,,"Correctional Probation, Law Enforcement, and Instructor Certifications",,,,,,5354
15372,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5225
15849,564,8/29/2000,1,DN,,8/29/2000,,,Denied due to not having any required information on file with the agency.,,,,,,5350
15628,564,8/29/2000,1,VR,4,8/29/2000,,,,,,,,,5279
15789,564,8/29/2000,1,Rev,P,8/29/2000,,,,,,,,,5329
15549,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,5266
15686,564,8/29/2000,1,VR,7,8/29/2000,,,,,,,,,5296
15818,564,8/29/2000,1,VR,7,,,,,,,,,,5341
6607,565,8/23/2000,1,DI,7,,,,,,,,,,2563
14553,564,8/29/2000,1,Rev,4,,,,,,,,,,5014
15039,564,8/29/2000,1,Rev,7,,,,,,,,,,5148
15695,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5300
15468,564,8/29/2000,1,VR,7,,,,,,,,,,5251
12038,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,4264
15133,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5164
15390,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5228
11082,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,3910
15026,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,5144
15987,564,8/29/2000,1,PR,7,9/13/2000,9/13/2001,9/13/2001,"Fifteen days retroactive suspension from September 18, 1999 to October 2, 1999.  One year probation.",,,,,,5391
15530,564,8/29/2000,1,VR,7,8/29/2000,,,,,,,,,5263
15784,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5327
12846,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,4559
15839,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5346
12735,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,4521
15370,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5224
14978,565,8/14/2000,1,PR,7,8/29/2000,8/28/2001,,Mandatory ethics training during probation period.,,,,,,5128
15207,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5191
14260,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,4939
16098,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5421
16087,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5418
16482,570,11/7/2000,1,DN,7,11/7/2000,,,,,,,,,5540
16303,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5494
15209,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5192
16173,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5444
15557,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5269
16175,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5445
16052,570,11/7/2000,1,Rev,7,,,,,,,,,,5407
15580,570,11/7/2000,1,Rev,7,,,,,,,,,,5272
16163,570,11/20/2000,1,Sus/Pr,7,12/5/2000,12/5/2001,,Retroactive suspension from 3-24-00 thru 4-7-00. One year probation from 12-5-00 thru 12-5-01. Training in ethics.,,,,,,5439
3416,9,2/23/1993,1,Rev,7,2/23/1993,,,Revoked both auxillary law enforcement and law enforcement certifications,,,,,,1306
2430,22,12/24/1991,1,PR,7,2/1/1992,8/1/1992,,Retroactively voluntarily relinquish his rights and privileges from 11-01-91 to 02-01-92,,,,,,710
9850,524,6/2/1998,1,None,7,,,,Final Order issued 07/31/95 set aside,,,,,,3425
16559,577,2/5/2001,1,DN,P,,,,,,,,,,5560
15478,577,2/5/2001,1,Rev,4,,,,,,,,,,5255
16199,577,2/5/2001,1,Rev,4,,,,,,,,,,5458
13783,577,2/5/2001,1,Rev,4,,,,,,,,,,4820
16185,577,2/5/2001,1,Rev,4,,,,,,,,,,5448
16301,577,2/5/2001,1,Rev,7,,,,,,,,,,5492
16441,577,2/5/2001,1,Rev,7,,,,,,,,,,5528
16241,577,2/5/2001,1,Rev,7,,,,,,,,,,5476
15450,578,2/5/2001,1,DI,7,,,,,,,,,,5248
15458,577,2/5/2001,1,VR,4,,,,,,,,,,5249
13614,577,2/5/2001,1,VR,7,,,,,,,,,,4779
16207,577,2/5/2001,1,None,7,,,,Certification Granted,,,,,,5463
16433,577,2/5/2001,1,DN,4,,,,,,,,,,5525
16281,577,2/5/2001,1,VR,7,2/5/2001,,,,,,,,,5485
15995,577,2/5/2001,1,VR,7,2/5/2001,,,,,,,,,5395
15751,559,5/15/2000,1,VR,P,5/15/2000,,,,,,,,,5321
15460,559,5/15/2000,1,VR,4,5/15/2000,,,,,,,,,5250
14902,559,5/15/2000,1,VR,7,5/15/2000,,,,,,,,,5105
14700,559,5/15/2000,1,Rev,7,5/15/2000,,,,,,,,,5054
15428,559,5/15/2000,1,Rev,4,5/15/2000,,,,,,,,,5239
14731,559,5/15/2000,1,VR,4,5/15/2000,,,,,,,,,5060
15134,560,5/15/2000,1,VR,7,5/15/2000,,,,,,,,,5165
15427,559,5/15/2000,1,Rev,4,5/15/2000,,,,,,,,,5238
15441,559,5/15/2000,1,Rev,7,5/15/2000,,,,,,,,,5245
14901,559,5/15/2000,1,VR,7,5/15/2000,,,,,,,,,5104
14732,559,5/15/2000,1,VR,4,5/15/2000,,,,,,,,,5061
14600,559,5/15/2000,1,Rev,4,5/15/2000,,,,,,,,,5036
15272,559,5/16/2000,1,Rev,7,5/16/2000,,,,,,,,,5204
15552,559,5/16/2000,1,Rev,7,5/16/2000,,,,,,,,,5268
15435,559,5/16/2000,1,Rev,7,5/16/2000,,,,,,,,,5241
15086,559,5/16/2000,1,Rev,4,5/16/2000,,,,,,,,,5157
12642,560,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,4486
15265,559,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,5203
14254,559,5/16/2000,1,PR,7,5/31/2000,5/30/2001,,Substance abuse evaluation and treatment during probation period,,,,,,4935
15421,560,5/15/2000,1,PR,7,5/30/2000,5/29/2002,,8 random drug tests required during probationary period.,,,,,,5235
14750,560,5/15/2000,1,PR,7,5/30/2000,5/29/2001,,Substance abuse counseling required.,,,,,,5066
15490,559,5/16/2000,1,DN,4,,,,,,,,,,5258
14827,559,5/16/2000,1,VR,4,,,,,,,,,,5089
15513,559,5/16/2000,1,Rev,7,,,,,,,,,,5260
15683,559,5/16/2000,1,Agr,7,,,,,,,,,,5293
14501,559,5/16/2000,1,Rev,4,,,,,,,,,,4996
14946,559,5/16/2000,1,Rev,7,5/16/2000,,,,,,,,,5122
14707,560,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,5055
14459,559,5/16/2000,1,VR,7,5/16/2000,,,,,,,,,4984
12834,560,5/16/2000,1,DI,,5/16/2000,,,,,,,,,4554
15149,559,5/15/2000,1,Rev,4,5/15/2000,,,,,,,,,5173
15373,559,5/16/2000,1,Rev,7,,,,,,,,,,5226
15340,559,5/16/2000,1,Rev,4,,,,,,,,,,5219
15729,559,5/16/2000,1,Rev,4,,,,,,,,,,5309
15681,559,5/16/2000,1,Rev,7,,,,,,,,,,5291
14499,559,5/16/2000,1,Rev,4,5/16/2000,,,,,,,,,4995
13629,560,5/16/2000,1,DI,7,5/16/2000,,,,,,,,,4784
15046,559,5/16/2000,1,Rev,7,5/16/2000,,,,,,,,,5151
2950,559,5/16/2000,1,Rev,4,5/16/2000,,,,,,,,,1051
15717,559,5/16/2000,1,DN,B,5/16/2000,,,,,,,,,5305
10439,166,1/31/1997,1,VR,7,1/31/1997,,,,,,,,,3696
15476,559,5/31/2000,1,Rev,7,5/31/2000,,,,,,,,,5253
15184,559,5/31/2000,1,PR,7,6/15/2000,6/15/2001,,,,,,,,5186
14927,559,6/1/2000,1,Rev,4,6/1/2000,,,,,,,,,5111
12116,559,6/5/2000,1,Rev,7,6/5/2000,,,,,,,,,4294
14369,555,2/23/2000,1,Sus/Pr,7,3/9/2000,7/7/2002,,"9 month retroactive suspension from February 26, 1999 until November 25,1999. 4 month prospective suspension.  2 year probation following suspension.  Domestic violence and anger management. No contact with victim.",,,,,,4963
14884,565,8/14/2000,1,Rev,7,8/14/2000,,,,,,,,,5100
16080,565,8/15/2000,1,VR,,8/15/2000,,,,,,,,,5415
16377,565,8/22/2000,1,VR,7,8/22/2000,,,Accepted,,,,,,5510
10992,565,8/22/2000,1,PR,7,9/6/2000,9/5/2002,9/5/2002,8 random drug tests.,,,,,,3880
