complaint_nbr,offense_code,offense_seq_nbr,case_related,offense_comments,row_revision,offense_prefix,offense_date,guideline_penalty,creation_user_code,creation_datetime,update_user_code,update_datetime
1,2200,1,Y,MISDEAMEANOR,,,,,,,,
4,2500,1,Y,FELONY,,,,,,,,
16,8000,1,Y,MISDEAMEANOR,,,,,,,,
20,1300,1,Y,FELONY,,,,,,,,
22,8000,1,Y,MISDEAMEANOR,,,,,,,,
23,2600,1,Y,MISDEAMEANOR,,,,,,,,
24,8000,1,Y,MISDEAMEANOR,,,,,,,,
27,2800,1,Y,MISDEAMEANOR,,,,,,,,
30,3600,1,Y,MISDEAMEANOR,,,,,,,,
31,2200,1,Y,MISDEAMEANOR,,,,,,,,
33,2800,1,Y,FELONY,,,,,,,,
43,8000,1,Y,MISDEAMEANOR,,,,,,,,
55,8000,1,Y,MISDEAMEANOR,,,,,,,,
59,8000,1,Y,MISDEAMEANOR,,,,,,,,
68,2300,1,Y,FELONY,,,,,,,,
83,3500,1,Y,FELONY,,,,,,,,
86,1300,1,Y,MISDEAMEANOR,,,,,,,,
87,2600,1,Y,,,,,,,,,
88,8000,1,Y,MISDEAMEANOR,,,,,,,,
93,8000,1,Y,MISDEAMEANOR,,,,,,,,
97,8000,1,Y,MISDEAMEANOR,,,,,,,,
99,2300,1,Y,,,,,,,,,
100,8000,1,Y,MISDEAMEANOR,,,,,,,,
104,0900,1,Y,FELONY,,,,,,,,
106,0900,1,Y,MISDEAMEANOR,,,,,,,,
113,3603,1,Y,FELONY,,,,,,,,
121,3562,1,Y,FELONY,,,,,,,,
131,8000,1,Y,MISDEAMEANOR,,,,,,,,
132,1300,1,Y,MISDEAMEANOR,,,,,,,,
134,0900,1,Y,MISDEAMEANOR,,,,,,,,
136,0900,1,Y,MISDEAMEANOR,,,,,,,,
140,0900,1,Y,MISDEAMEANOR,,,,,,,,
147,3500,1,Y,FELONY,,,,,,,,
148,3500,1,Y,FELONY,,,,,,,,
150,1300,1,Y,MISDEAMEANOR,,,,,,,,
152,3500,1,Y,FELONY,,,,,,,,
157,1300,1,Y,MISDEAMEANOR,,,,,,,,
162,8000,1,Y,MISDEAMEANOR,,,,,,,,
169,8000,1,Y,MISDEAMEANOR,,,,,,,,
